
 x   t=0.0   t=0.4   t=0.8   t=1.2   t=1.6   t=2.0   t=2.4

  0.00000000D+00    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.10000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.20000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.30000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.40000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.60000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.70000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01
  0.80000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000001D+01    0.50000004D+01
  0.90000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999995D+01    0.49999979D+01
  0.10000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000004D+01    0.50000037D+01    0.50000085D+01
  0.11000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999956D+01    0.49999798D+01    0.49999757D+01
  0.12000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000026D+01    0.50000342D+01    0.50000816D+01    0.50000381D+01
  0.13000000D+02    0.50000000D+01    0.50000000D+01    0.49999998D+01    0.49999655D+01    0.49998044D+01    0.49997757D+01    0.50000367D+01
  0.14000000D+02    0.50000000D+01    0.50000000D+01    0.50000110D+01    0.50003110D+01    0.50007969D+01    0.50002824D+01    0.49996196D+01
  0.15000000D+02    0.50000000D+01    0.50000000D+01    0.49997656D+01    0.49980683D+01    0.49979504D+01    0.50006268D+01    0.50008343D+01
  0.16000000D+02    0.50000000D+01    0.50000000D+01    0.50027817D+01    0.50079253D+01    0.50017020D+01    0.49963194D+01    0.50002298D+01
  0.17000000D+02    0.50000000D+01    0.49990865D+01    0.49802685D+01    0.49817463D+01    0.50087162D+01    0.50052799D+01    0.49949173D+01
  0.18000000D+02    0.50000000D+01    0.50231794D+01    0.50808826D+01    0.50033396D+01    0.49677292D+01    0.50093327D+01    0.50080776D+01
  0.19000000D+02    0.50000000D+01    0.47824404D+01    0.48489626D+01    0.51055000D+01    0.50174647D+01    0.49566820D+01    0.50112434D+01
  0.20000000D+02    0.50000000D+01    0.58489462D+01    0.48572963D+01    0.47687989D+01    0.51297983D+01    0.50219411D+01    0.49485129D+01
  0.21000000D+02    0.00000000D+00    0.40091048D+01    0.60280576D+01    0.48362581D+01    0.47299723D+01    0.51523142D+01    0.50189832D+01
  0.22000000D+02    0.00000000D+00    0.33698573D+00    0.39011241D+01    0.61054413D+01    0.47923939D+01    0.47199851D+01    0.51684160D+01
  0.23000000D+02    0.00000000D+00    0.25700151D-03    0.30062454D+00    0.39078597D+01    0.61170134D+01    0.47542779D+01    0.47272774D+01
  0.24000000D+02    0.00000000D+00    0.98890718D-12    0.22580540D-03    0.28460316D+00    0.39488307D+01    0.60988471D+01    0.47320447D+01
  0.25000000D+02    0.00000000D+00    0.00000000D+00    0.31174255D-11    0.18050509D-03    0.28762136D+00    0.39869115D+01    0.60752409D+01
  0.26000000D+02    0.00000000D+00    0.00000000D+00    0.59864553D-31    0.15410566D-11    0.17635189D-03    0.29716995D+00    0.40086341D+01
  0.27000000D+02    0.00000000D+00    0.00000000D+00    0.33899747D-81    0.10229346D-31    0.12519923D-11    0.18986239D-03    0.30570608D+00
  0.28000000D+02    0.00000000D+00    0.00000000D+00    0.77909190-216    0.43389572D-82    0.38929993D-32    0.14341653D-11    0.20612881D-03
  0.29000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.74103453-208    0.12009806D-83    0.44767699D-32    0.17806939D-11
  0.30000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.94231972-213    0.82567159D-84    0.76187242D-32
  0.31000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.33941195-214    0.26895849D-83
  0.32000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.29832395-213
  0.33000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.34000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.35000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.36000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.37000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.38000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.39000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.40000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
