
 x   t=0.0   t=0.4   t=0.8   t=1.2   t=1.6   t=2.0   t=2.4

  0.00000000D+00    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.10000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.20000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.30000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.40000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.60000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.70000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.80000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000002D+01
  0.90000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999997D+01    0.49999987D+01
  0.10000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000003D+01    0.50000023D+01    0.50000052D+01
  0.11000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999973D+01    0.49999877D+01    0.49999848D+01
  0.12000000D+02    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000016D+01    0.50000207D+01    0.50000503D+01    0.50000251D+01
  0.13000000D+02    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999792D+01    0.49998809D+01    0.49998591D+01    0.50000172D+01
  0.14000000D+02    0.50000000D+01    0.50000000D+01    0.50000067D+01    0.50001880D+01    0.50004905D+01    0.50001908D+01    0.49997736D+01
  0.15000000D+02    0.50000000D+01    0.50000000D+01    0.49998587D+01    0.49988262D+01    0.49987074D+01    0.50003350D+01    0.50005282D+01
  0.16000000D+02    0.50000000D+01    0.50000000D+01    0.50016764D+01    0.50048700D+01    0.50012266D+01    0.49977801D+01    0.50000478D+01
  0.17000000D+02    0.50000000D+01    0.49994462D+01    0.49880401D+01    0.49883813D+01    0.50049039D+01    0.50034697D+01    0.49970035D+01
  0.18000000D+02    0.50000000D+01    0.50139468D+01    0.50492842D+01    0.50039727D+01    0.49801453D+01    0.50049247D+01    0.50052082D+01
  0.19000000D+02    0.50000000D+01    0.48667713D+01    0.49003384D+01    0.50608034D+01    0.50134118D+01    0.49736443D+01    0.50058447D+01
  0.20000000D+02    0.50000000D+01    0.54799944D+01    0.49304383D+01    0.48502280D+01    0.50736245D+01    0.50166528D+01    0.49687103D+01
  0.21000000D+02    0.00000000D+00    0.41458338D+01    0.55662532D+01    0.49217246D+01    0.48256322D+01    0.50863857D+01    0.50152211D+01
  0.22000000D+02    0.00000000D+00    0.49336860D+00    0.40848886D+01    0.56047344D+01    0.48948887D+01    0.48190475D+01    0.50957605D+01
  0.23000000D+02    0.00000000D+00    0.63889045D-03    0.47847907D+00    0.40976451D+01    0.56093176D+01    0.48708577D+01    0.48234066D+01
  0.24000000D+02    0.00000000D+00    0.74317730D-11    0.73662426D-03    0.46797510D+00    0.41240863D+01    0.55984101D+01    0.48570773D+01
  0.25000000D+02    0.00000000D+00    0.00000000D+00    0.50711516D-10    0.67085800D-03    0.47299518D+00    0.41445150D+01    0.55851034D+01
  0.26000000D+02    0.00000000D+00    0.00000000D+00    0.37659904D-28    0.39286534D-10    0.67110152D-03    0.48318130D+00    0.41540176D+01
  0.27000000D+02    0.00000000D+00    0.00000000D+00    0.72222854D-75    0.27256810D-28    0.36385121D-10    0.70667443D-03    0.49152173D+00
  0.28000000D+02    0.00000000D+00    0.00000000D+00    0.80645322-202    0.72157180D-74    0.18113629D-28    0.40389496D-10    0.74471314D-03
  0.29000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.17815900-188    0.16127002D-74    0.21154919D-28    0.46510292D-10
  0.30000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.29991772-190    0.16187194D-74    0.30207948D-28
  0.31000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.87878617-191    0.36990894D-74
  0.32000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.46708612-190
  0.33000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.34000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.35000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.36000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.37000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.38000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.39000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.40000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
