
 x   t=0.0   t=0.4   t=0.8   t=1.2   t=1.6   t=2.0   t=2.4

  0.00000000D+00    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01
  0.10000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999993D+01    0.49999812D+01    0.49997120D+01    0.49972289D+01
  0.20000000D+01    0.50000000D+01    0.50000000D+01    0.50000000D+01    0.50000020D+01    0.50000487D+01    0.50006488D+01    0.50053447D+01
  0.30000000D+01    0.50000000D+01    0.50000000D+01    0.49999999D+01    0.49999934D+01    0.49998588D+01    0.49983177D+01    0.49875962D+01
  0.40000000D+01    0.50000000D+01    0.50000000D+01    0.50000005D+01    0.50000207D+01    0.50003936D+01    0.50041239D+01    0.50264995D+01
  0.50000000D+01    0.50000000D+01    0.50000000D+01    0.49999983D+01    0.49999357D+01    0.49989294D+01    0.49902032D+01    0.49452857D+01
  0.60000000D+01    0.50000000D+01    0.50000001D+01    0.50000060D+01    0.50001951D+01    0.50028244D+01    0.50222915D+01    0.51057633D+01
  0.70000000D+01    0.50000000D+01    0.49999998D+01    0.49999793D+01    0.49994215D+01    0.49927993D+01    0.49514014D+01    0.48038762D+01
  0.80000000D+01    0.50000000D+01    0.50000008D+01    0.50000700D+01    0.50016687D+01    0.50176093D+01    0.50992612D+01    0.53239871D+01
  0.90000000D+01    0.50000000D+01    0.49999968D+01    0.49997679D+01    0.49953382D+01    0.49587924D+01    0.48064248D+01    0.44792084D+01
  0.10000000D+02    0.50000000D+01    0.50000125D+01    0.50007527D+01    0.50125268D+01    0.50903728D+01    0.53347550D+01    0.56702257D+01
  0.11000000D+02    0.50000000D+01    0.49999520D+01    0.49976216D+01    0.49677756D+01    0.48116808D+01    0.44399213D+01    0.41685936D+01
  0.12000000D+02    0.50000000D+01    0.50001831D+01    0.50072765D+01    0.50778766D+01    0.53463981D+01    0.57343812D+01    0.56584075D+01
  0.13000000D+02    0.50000000D+01    0.49993107D+01    0.49785810D+01    0.48219869D+01    0.43880232D+01    0.40848927D+01    0.47865313D+01
  0.14000000D+02    0.50000000D+01    0.50025544D+01    0.50597059D+01    0.53580455D+01    0.58235580D+01    0.56650818D+01    0.44640158D+01
  0.15000000D+02    0.50000000D+01    0.49907259D+01    0.48427371D+01    0.43147814D+01    0.39696614D+01    0.49634371D+01    0.60212705D+01
  0.16000000D+02    0.50000000D+01    0.50327043D+01    0.53658218D+01    0.59592056D+01    0.56428492D+01    0.40919675D+01    0.41644092D+01
  0.17000000D+02    0.50000000D+01    0.48888908D+01    0.41992921D+01    0.38003980D+01    0.52857840D+01    0.62148126D+01    0.45359108D+01
  0.18000000D+02    0.50000000D+01    0.53483573D+01    0.62012217D+01    0.55201409D+01    0.35229700D+01    0.46011303D+01    0.64786054D+01
  0.19000000D+02    0.50000000D+01    0.39643147D+01    0.35483004D+01    0.59093676D+01    0.62199278D+01    0.34896562D+01    0.40409789D+01
  0.20000000D+02    0.50000000D+01    0.68336836D+01    0.49211419D+01    0.28192252D+01    0.56619245D+01    0.66727489D+01    0.34560537D+01
  0.21000000D+02    0.00000000D+00    0.36568094D+01    0.71823676D+01    0.51924591D+01    0.23054146D+01    0.55329443D+01    0.69911770D+01
  0.22000000D+02    0.00000000D+00    0.28250407D+00    0.34437635D+01    0.75123682D+01    0.51514142D+01    0.19088086D+01    0.55199837D+01
  0.23000000D+02    0.00000000D+00    0.00000000D+00    0.25135499D+00    0.34983495D+01    0.78059679D+01    0.49017786D+01    0.16205185D+01
  0.24000000D+02    0.00000000D+00    0.00000000D+00    0.23949459D-03    0.23872456D+00    0.37394200D+01    0.80374911D+01    0.45027475D+01
  0.25000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.19387071D-03    0.26317916D+00    0.41261741D+01    0.81842652D+01
  0.26000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.18834650D-11    0.21037396D-03    0.32718758D+00    0.46219584D+01
  0.27000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.16289215D-11    0.32437683D-03    0.43755899D+00
  0.28000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.11877797D-32    0.33805634D-11    0.63996472D-03
  0.29000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.28694490D-32    0.15169685D-10
  0.30000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.14464847D-87    0.60779367D-31
  0.31000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.34938504D-85
  0.32000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.14525674-228
  0.33000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.34000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.35000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.36000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.37000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.38000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.39000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
  0.40000000D+02    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00    0.00000000D+00
